pc_time,packet_type,esp_millis,steer,throttle,brake,mode_id,fault_flag,status_text,raw_line
2026-04-23 16:34:01.254,STATUS,41820,,,,,,"WIFI_ALIVE,IP=10.198.115.147,RSSI=-41","STATUS,41820,WIFI_ALIVE,IP=10.198.115.147,RSSI=-41"
2026-04-23 16:34:06.288,STATUS,46821,,,,,,"WIFI_ALIVE,IP=10.198.115.147,RSSI=-41","STATUS,46821,WIFI_ALIVE,IP=10.198.115.147,RSSI=-41"
2026-04-23 16:34:11.294,STATUS,51822,,,,,,"WIFI_ALIVE,IP=10.198.115.147,RSSI=-39","STATUS,51822,WIFI_ALIVE,IP=10.198.115.147,RSSI=-39"
2026-04-23 16:34:21.247,STATUS,5996,,,,,,"WIFI_OK,IP=10.198.115.147","STATUS,5996,WIFI_OK,IP=10.198.115.147"
2026-04-23 16:34:21.546,STATUS,6297,,,,,,"WIFI_ALIVE,IP=10.198.115.147,RSSI=-36","STATUS,6297,WIFI_ALIVE,IP=10.198.115.147,RSSI=-36"
2026-04-23 16:34:26.578,STATUS,11298,,,,,,"WIFI_ALIVE,IP=10.198.115.147,RSSI=-37","STATUS,11298,WIFI_ALIVE,IP=10.198.115.147,RSSI=-37"
2026-04-23 16:34:31.552,STATUS,16299,,,,,,"WIFI_ALIVE,IP=10.198.115.147,RSSI=-37","STATUS,16299,WIFI_ALIVE,IP=10.198.115.147,RSSI=-37"
2026-04-23 16:34:36.547,STATUS,21300,,,,,,"WIFI_ALIVE,IP=10.198.115.147,RSSI=-46","STATUS,21300,WIFI_ALIVE,IP=10.198.115.147,RSSI=-46"
2026-04-23 16:34:41.549,STATUS,26301,,,,,,"WIFI_ALIVE,IP=10.198.115.147,RSSI=-40","STATUS,26301,WIFI_ALIVE,IP=10.198.115.147,RSSI=-40"
2026-04-23 16:34:46.548,STATUS,31302,,,,,,"WIFI_ALIVE,IP=10.198.115.147,RSSI=-44","STATUS,31302,WIFI_ALIVE,IP=10.198.115.147,RSSI=-44"
2026-04-23 16:34:51.551,STATUS,36303,,,,,,"WIFI_ALIVE,IP=10.198.115.147,RSSI=-41","STATUS,36303,WIFI_ALIVE,IP=10.198.115.147,RSSI=-41"
2026-04-23 16:34:56.551,STATUS,41304,,,,,,"WIFI_ALIVE,IP=10.198.115.147,RSSI=-42","STATUS,41304,WIFI_ALIVE,IP=10.198.115.147,RSSI=-42"
2026-04-23 16:35:01.557,STATUS,46305,,,,,,"WIFI_ALIVE,IP=10.198.115.147,RSSI=-48","STATUS,46305,WIFI_ALIVE,IP=10.198.115.147,RSSI=-48"
2026-04-23 16:35:06.554,STATUS,51306,,,,,,"WIFI_ALIVE,IP=10.198.115.147,RSSI=-46","STATUS,51306,WIFI_ALIVE,IP=10.198.115.147,RSSI=-46"
2026-04-23 16:35:11.555,STATUS,56307,,,,,,"WIFI_ALIVE,IP=10.198.115.147,RSSI=-42","STATUS,56307,WIFI_ALIVE,IP=10.198.115.147,RSSI=-42"
2026-04-23 16:35:16.557,STATUS,61308,,,,,,"WIFI_ALIVE,IP=10.198.115.147,RSSI=-41","STATUS,61308,WIFI_ALIVE,IP=10.198.115.147,RSSI=-41"
2026-04-23 16:35:21.558,STATUS,66309,,,,,,"WIFI_ALIVE,IP=10.198.115.147,RSSI=-41","STATUS,66309,WIFI_ALIVE,IP=10.198.115.147,RSSI=-41"
