pc_time,packet_type,esp_millis,steer,throttle,brake,mode_id,fault_flag,status_text,raw_line
2026-04-23 16:26:22.108,STATUS,4957,,,,,,"WIFI_OK,IP=10.198.115.147","STATUS,4957,WIFI_OK,IP=10.198.115.147"
2026-04-23 16:26:22.409,STATUS,5259,,,,,,"WIFI_ALIVE,IP=10.198.115.147,RSSI=-46","STATUS,5259,WIFI_ALIVE,IP=10.198.115.147,RSSI=-46"
2026-04-23 16:26:27.407,STATUS,10260,,,,,,"WIFI_ALIVE,IP=10.198.115.147,RSSI=-54","STATUS,10260,WIFI_ALIVE,IP=10.198.115.147,RSSI=-54"
2026-04-23 16:26:32.408,STATUS,15261,,,,,,"WIFI_ALIVE,IP=10.198.115.147,RSSI=-46","STATUS,15261,WIFI_ALIVE,IP=10.198.115.147,RSSI=-46"
2026-04-23 16:26:37.442,STATUS,20262,,,,,,"WIFI_ALIVE,IP=10.198.115.147,RSSI=-46","STATUS,20262,WIFI_ALIVE,IP=10.198.115.147,RSSI=-46"
2026-04-23 16:26:42.410,STATUS,25263,,,,,,"WIFI_ALIVE,IP=10.198.115.147,RSSI=-42","STATUS,25263,WIFI_ALIVE,IP=10.198.115.147,RSSI=-42"
