pc_time,packet_type,esp_millis,steer,throttle,brake,mode_id,fault_flag,status_text
2026-04-23 15:13:04.554,STATUS,20864,,,,,,FRAME_ERROR
2026-04-23 15:13:04.574,STATUS,20884,,,,,,FRAME_ERROR
2026-04-23 15:13:04.594,STATUS,20902,,,,,,FRAME_ERROR
2026-04-23 15:13:04.614,STATUS,20924,,,,,,FRAME_ERROR
2026-04-23 15:13:04.628,STATUS,20938,,,,,,FRAME_ERROR
2026-04-23 15:13:04.636,STATUS,20943,,,,,,FRAME_ERROR
2026-04-23 15:13:04.654,STATUS,20961,,,,,,FRAME_ERROR
2026-04-23 15:13:04.670,STATUS,20979,,,,,,FRAME_ERROR
2026-04-23 15:13:04.692,STATUS,21001,,,,,,FRAME_ERROR
2026-04-23 15:13:04.709,STATUS,21017,,,,,,FRAME_ERROR
2026-04-23 15:13:04.709,STATUS,21019,,,,,,FRAME_ERROR
2026-04-23 15:13:04.729,STATUS,21039,,,,,,FRAME_ERROR
2026-04-23 15:13:04.754,STATUS,21058,,,,,,FRAME_ERROR
2026-04-23 15:13:04.768,STATUS,21077,,,,,,FRAME_ERROR
2026-04-23 15:13:04.785,STATUS,21093,,,,,,FRAME_ERROR
2026-04-23 15:13:04.787,STATUS,21095,,,,,,FRAME_ERROR
2026-04-23 15:13:04.804,STATUS,21113,,,,,,FRAME_ERROR
2026-04-23 15:13:04.827,STATUS,21135,,,,,,FRAME_ERROR
2026-04-23 15:13:04.840,STATUS,21149,,,,,,FRAME_ERROR
2026-04-23 15:13:04.858,STATUS,21165,,,,,,FRAME_ERROR
2026-04-23 15:13:04.859,STATUS,21168,,,,,,FRAME_ERROR
2026-04-23 15:13:04.886,STATUS,21190,,,,,,FRAME_ERROR
2026-04-23 15:13:04.899,STATUS,21209,,,,,,FRAME_ERROR
2026-04-23 15:13:04.916,STATUS,21225,,,,,,FRAME_ERROR
2026-04-23 15:13:04.932,STATUS,21242,,,,,,FRAME_ERROR
2026-04-23 15:13:04.934,STATUS,21244,,,,,,FRAME_ERROR
