pc_time,packet_type,esp_millis,byte_hex,byte_dec,steer,throttle,brake,mode_id,fault_flag,status_text,raw_line
2026-04-23 15:35:24.438,STATUS,23029,,,,,,,,"WIFI_ALIVE,IP=10.198.115.147,RSSI=-34","STATUS,23029,WIFI_ALIVE,IP=10.198.115.147,RSSI=-34"
2026-04-23 15:35:29.405,STATUS,28030,,,,,,,,"WIFI_ALIVE,IP=10.198.115.147,RSSI=-33","STATUS,28030,WIFI_ALIVE,IP=10.198.115.147,RSSI=-33"
2026-04-23 15:35:34.445,STATUS,33031,,,,,,,,"WIFI_ALIVE,IP=10.198.115.147,RSSI=-35","STATUS,33031,WIFI_ALIVE,IP=10.198.115.147,RSSI=-35"
2026-04-23 15:35:39.406,STATUS,38032,,,,,,,,"WIFI_ALIVE,IP=10.198.115.147,RSSI=-35","STATUS,38032,WIFI_ALIVE,IP=10.198.115.147,RSSI=-35"
2026-04-23 15:35:47.135,STATUS,4975,,,,,,,,"WIFI_OK,IP=10.198.115.147","STATUS,4975,WIFI_OK,IP=10.198.115.147"
2026-04-23 15:35:47.532,STATUS,5376,,,,,,,,"WIFI_ALIVE,IP=10.198.115.147,RSSI=-30","STATUS,5376,WIFI_ALIVE,IP=10.198.115.147,RSSI=-30"
2026-04-23 15:35:52.530,STATUS,10377,,,,,,,,"WIFI_ALIVE,IP=10.198.115.147,RSSI=-36","STATUS,10377,WIFI_ALIVE,IP=10.198.115.147,RSSI=-36"
2026-04-23 15:35:54.882,RAWBYTE,12728,00,0,,,,,,,"RAWBYTE,12728,00,0"
2026-04-23 15:35:54.905,RAWBYTE,12749,00,0,,,,,,,"RAWBYTE,12749,00,0"
2026-04-23 15:35:54.922,RAWBYTE,12769,00,0,,,,,,,"RAWBYTE,12769,00,0"
2026-04-23 15:35:54.942,RAWBYTE,12790,00,0,,,,,,,"RAWBYTE,12790,00,0"
2026-04-23 15:35:54.972,RAWBYTE,12810,01,1,,,,,,,"RAWBYTE,12810,01,1"
2026-04-23 15:35:54.984,RAWBYTE,12831,00,0,,,,,,,"RAWBYTE,12831,00,0"
2026-04-23 15:35:55.007,RAWBYTE,12851,0a,10,,,,,,,"RAWBYTE,12851,0a,10"
2026-04-23 15:35:55.162,RAWBYTE,13007,00,0,,,,,,,"RAWBYTE,13007,00,0"
2026-04-23 15:35:55.182,RAWBYTE,13028,00,0,,,,,,,"RAWBYTE,13028,00,0"
2026-04-23 15:35:55.202,RAWBYTE,13048,00,0,,,,,,,"RAWBYTE,13048,00,0"
2026-04-23 15:35:55.223,RAWBYTE,13069,00,0,,,,,,,"RAWBYTE,13069,00,0"
2026-04-23 15:35:55.243,RAWBYTE,13089,01,1,,,,,,,"RAWBYTE,13089,01,1"
2026-04-23 15:35:55.264,RAWBYTE,13110,00,0,,,,,,,"RAWBYTE,13110,00,0"
2026-04-23 15:35:55.286,RAWBYTE,13130,0a,10,,,,,,,"RAWBYTE,13130,0a,10"
2026-04-23 15:35:55.305,RAWBYTE,13151,00,0,,,,,,,"RAWBYTE,13151,00,0"
2026-04-23 15:35:55.326,RAWBYTE,13171,00,0,,,,,,,"RAWBYTE,13171,00,0"
2026-04-23 15:35:55.347,RAWBYTE,13192,00,0,,,,,,,"RAWBYTE,13192,00,0"
2026-04-23 15:35:55.366,RAWBYTE,13212,00,0,,,,,,,"RAWBYTE,13212,00,0"
2026-04-23 15:35:55.387,RAWBYTE,13233,01,1,,,,,,,"RAWBYTE,13233,01,1"
2026-04-23 15:35:55.407,RAWBYTE,13253,00,0,,,,,,,"RAWBYTE,13253,00,0"
2026-04-23 15:35:55.428,RAWBYTE,13273,0a,10,,,,,,,"RAWBYTE,13273,0a,10"
2026-04-23 15:35:55.447,RAWBYTE,13294,0a,10,,,,,,,"RAWBYTE,13294,0a,10"
2026-04-23 15:35:55.469,RAWBYTE,13315,00,0,,,,,,,"RAWBYTE,13315,00,0"
2026-04-23 15:35:55.489,RAWBYTE,13335,01,1,,,,,,,"RAWBYTE,13335,01,1"
2026-04-23 15:35:55.511,RAWBYTE,13355,00,0,,,,,,,"RAWBYTE,13355,00,0"
2026-04-23 15:35:55.530,RAWBYTE,13376,00,0,,,,,,,"RAWBYTE,13376,00,0"
2026-04-23 15:35:55.550,RAWBYTE,13396,0a,10,,,,,,,"RAWBYTE,13396,0a,10"
2026-04-23 15:35:55.570,RAWBYTE,13417,00,0,,,,,,,"RAWBYTE,13417,00,0"
2026-04-23 15:35:55.592,RAWBYTE,13437,01,1,,,,,,,"RAWBYTE,13437,01,1"
2026-04-23 15:35:55.615,RAWBYTE,13458,00,0,,,,,,,"RAWBYTE,13458,00,0"
2026-04-23 15:35:55.631,RAWBYTE,13478,0a,10,,,,,,,"RAWBYTE,13478,0a,10"
2026-04-23 15:35:55.656,RAWBYTE,13499,00,0,,,,,,,"RAWBYTE,13499,00,0"
2026-04-23 15:35:55.673,RAWBYTE,13519,00,0,,,,,,,"RAWBYTE,13519,00,0"
2026-04-23 15:35:55.693,RAWBYTE,13540,00,0,,,,,,,"RAWBYTE,13540,00,0"
2026-04-23 15:35:55.715,RAWBYTE,13560,01,1,,,,,,,"RAWBYTE,13560,01,1"
2026-04-23 15:35:55.735,RAWBYTE,13580,00,0,,,,,,,"RAWBYTE,13580,00,0"
2026-04-23 15:35:55.754,RAWBYTE,13601,0a,10,,,,,,,"RAWBYTE,13601,0a,10"
2026-04-23 15:35:55.779,RAWBYTE,13622,00,0,,,,,,,"RAWBYTE,13622,00,0"
2026-04-23 15:35:55.797,RAWBYTE,13642,00,0,,,,,,,"RAWBYTE,13642,00,0"
2026-04-23 15:35:55.824,RAWBYTE,13663,00,0,,,,,,,"RAWBYTE,13663,00,0"
2026-04-23 15:35:55.837,RAWBYTE,13683,01,1,,,,,,,"RAWBYTE,13683,01,1"
2026-04-23 15:35:55.858,RAWBYTE,13704,00,0,,,,,,,"RAWBYTE,13704,00,0"
2026-04-23 15:35:55.878,RAWBYTE,13724,0a,10,,,,,,,"RAWBYTE,13724,0a,10"
2026-04-23 15:35:55.899,RAWBYTE,13745,00,0,,,,,,,"RAWBYTE,13745,00,0"
2026-04-23 15:35:55.924,RAWBYTE,13765,00,0,,,,,,,"RAWBYTE,13765,00,0"
2026-04-23 15:35:55.940,RAWBYTE,13785,00,0,,,,,,,"RAWBYTE,13785,00,0"
2026-04-23 15:35:55.961,RAWBYTE,13806,00,0,,,,,,,"RAWBYTE,13806,00,0"
2026-04-23 15:35:55.981,RAWBYTE,13826,00,0,,,,,,,"RAWBYTE,13826,00,0"
2026-04-23 15:35:56.001,RAWBYTE,13847,00,0,,,,,,,"RAWBYTE,13847,00,0"
2026-04-23 15:35:56.022,RAWBYTE,13867,01,1,,,,,,,"RAWBYTE,13867,01,1"
2026-04-23 15:35:56.043,RAWBYTE,13888,00,0,,,,,,,"RAWBYTE,13888,00,0"
2026-04-23 15:35:56.063,RAWBYTE,13909,0a,10,,,,,,,"RAWBYTE,13909,0a,10"
2026-04-23 15:35:56.083,RAWBYTE,13929,0a,10,,,,,,,"RAWBYTE,13929,0a,10"
2026-04-23 15:35:56.104,RAWBYTE,13950,00,0,,,,,,,"RAWBYTE,13950,00,0"
2026-04-23 15:35:56.132,RAWBYTE,13970,00,0,,,,,,,"RAWBYTE,13970,00,0"
2026-04-23 15:35:56.147,RAWBYTE,13991,00,0,,,,,,,"RAWBYTE,13991,00,0"
2026-04-23 15:35:56.167,RAWBYTE,14011,01,1,,,,,,,"RAWBYTE,14011,01,1"
2026-04-23 15:35:56.186,RAWBYTE,14032,00,0,,,,,,,"RAWBYTE,14032,00,0"
2026-04-23 15:35:56.206,RAWBYTE,14052,00,0,,,,,,,"RAWBYTE,14052,00,0"
2026-04-23 15:35:56.227,RAWBYTE,14073,00,0,,,,,,,"RAWBYTE,14073,00,0"
2026-04-23 15:35:56.247,RAWBYTE,14093,00,0,,,,,,,"RAWBYTE,14093,00,0"
2026-04-23 15:35:56.268,RAWBYTE,14114,00,0,,,,,,,"RAWBYTE,14114,00,0"
2026-04-23 15:35:56.288,RAWBYTE,14134,01,1,,,,,,,"RAWBYTE,14134,01,1"
2026-04-23 15:35:56.309,RAWBYTE,14155,00,0,,,,,,,"RAWBYTE,14155,00,0"
2026-04-23 15:35:56.329,RAWBYTE,14175,0a,10,,,,,,,"RAWBYTE,14175,0a,10"
2026-04-23 15:35:56.350,RAWBYTE,14195,0a,10,,,,,,,"RAWBYTE,14195,0a,10"
2026-04-23 15:35:56.372,RAWBYTE,14216,00,0,,,,,,,"RAWBYTE,14216,00,0"
2026-04-23 15:35:56.390,RAWBYTE,14236,00,0,,,,,,,"RAWBYTE,14236,00,0"
2026-04-23 15:35:56.411,RAWBYTE,14257,00,0,,,,,,,"RAWBYTE,14257,00,0"
2026-04-23 15:35:56.430,RAWBYTE,14277,01,1,,,,,,,"RAWBYTE,14277,01,1"
2026-04-23 15:35:56.451,RAWBYTE,14298,00,0,,,,,,,"RAWBYTE,14298,00,0"
2026-04-23 15:35:56.471,RAWBYTE,14318,00,0,,,,,,,"RAWBYTE,14318,00,0"
2026-04-23 15:35:56.493,RAWBYTE,14339,00,0,,,,,,,"RAWBYTE,14339,00,0"
2026-04-23 15:35:56.518,RAWBYTE,14359,00,0,,,,,,,"RAWBYTE,14359,00,0"
2026-04-23 15:35:56.534,RAWBYTE,14380,00,0,,,,,,,"RAWBYTE,14380,00,0"
2026-04-23 15:35:56.554,RAWBYTE,14400,01,1,,,,,,,"RAWBYTE,14400,01,1"
2026-04-23 15:35:56.573,RAWBYTE,14421,00,0,,,,,,,"RAWBYTE,14421,00,0"
2026-04-23 15:35:56.594,RAWBYTE,14441,0a,10,,,,,,,"RAWBYTE,14441,0a,10"
2026-04-23 15:35:56.614,RAWBYTE,14462,00,0,,,,,,,"RAWBYTE,14462,00,0"
2026-04-23 15:35:56.637,RAWBYTE,14482,00,0,,,,,,,"RAWBYTE,14482,00,0"
2026-04-23 15:35:56.657,RAWBYTE,14502,00,0,,,,,,,"RAWBYTE,14502,00,0"
2026-04-23 15:35:56.677,RAWBYTE,14523,01,1,,,,,,,"RAWBYTE,14523,01,1"
2026-04-23 15:35:56.698,RAWBYTE,14544,00,0,,,,,,,"RAWBYTE,14544,00,0"
2026-04-23 15:35:56.719,RAWBYTE,14564,0a,10,,,,,,,"RAWBYTE,14564,0a,10"
2026-04-23 15:35:56.739,RAWBYTE,14584,00,0,,,,,,,"RAWBYTE,14584,00,0"
2026-04-23 15:35:56.759,RAWBYTE,14605,00,0,,,,,,,"RAWBYTE,14605,00,0"
2026-04-23 15:35:56.784,RAWBYTE,14625,00,0,,,,,,,"RAWBYTE,14625,00,0"
2026-04-23 15:35:56.800,RAWBYTE,14646,01,1,,,,,,,"RAWBYTE,14646,01,1"
2026-04-23 15:35:56.824,RAWBYTE,14666,00,0,,,,,,,"RAWBYTE,14666,00,0"
2026-04-23 15:35:56.845,RAWBYTE,14687,0a,10,,,,,,,"RAWBYTE,14687,0a,10"
2026-04-23 15:35:56.861,RAWBYTE,14707,00,0,,,,,,,"RAWBYTE,14707,00,0"
2026-04-23 15:35:56.882,RAWBYTE,14728,00,0,,,,,,,"RAWBYTE,14728,00,0"
2026-04-23 15:35:56.903,RAWBYTE,14748,00,0,,,,,,,"RAWBYTE,14748,00,0"
