pc_time,packet_type,esp_millis,steer,throttle,brake,mode_id,fault_flag,status_text,raw_line
2026-04-23 16:21:46.015,STATUS,47863,,,,,,"WIFI_ALIVE,IP=10.198.115.147,RSSI=-37","STATUS,47863,WIFI_ALIVE,IP=10.198.115.147,RSSI=-37"
2026-04-23 16:21:51.016,STATUS,52864,,,,,,"WIFI_ALIVE,IP=10.198.115.147,RSSI=-36","STATUS,52864,WIFI_ALIVE,IP=10.198.115.147,RSSI=-36"
2026-04-23 16:21:56.021,STATUS,57865,,,,,,"WIFI_ALIVE,IP=10.198.115.147,RSSI=-37","STATUS,57865,WIFI_ALIVE,IP=10.198.115.147,RSSI=-37"
2026-04-23 16:22:01.023,STATUS,62866,,,,,,"WIFI_ALIVE,IP=10.198.115.147,RSSI=-37","STATUS,62866,WIFI_ALIVE,IP=10.198.115.147,RSSI=-37"
2026-04-23 16:22:06.021,STATUS,67867,,,,,,"WIFI_ALIVE,IP=10.198.115.147,RSSI=-38","STATUS,67867,WIFI_ALIVE,IP=10.198.115.147,RSSI=-38"
2026-04-23 16:22:11.024,STATUS,72868,,,,,,"WIFI_ALIVE,IP=10.198.115.147,RSSI=-39","STATUS,72868,WIFI_ALIVE,IP=10.198.115.147,RSSI=-39"
2026-04-23 16:22:16.021,STATUS,77869,,,,,,"WIFI_ALIVE,IP=10.198.115.147,RSSI=-37","STATUS,77869,WIFI_ALIVE,IP=10.198.115.147,RSSI=-37"
2026-04-23 16:22:21.023,STATUS,82870,,,,,,"WIFI_ALIVE,IP=10.198.115.147,RSSI=-37","STATUS,82870,WIFI_ALIVE,IP=10.198.115.147,RSSI=-37"
2026-04-23 16:22:28.588,STATUS,5996,,,,,,"WIFI_OK,IP=10.198.115.147","STATUS,5996,WIFI_OK,IP=10.198.115.147"
2026-04-23 16:22:28.869,STATUS,6297,,,,,,"WIFI_ALIVE,IP=10.198.115.147,RSSI=-33","STATUS,6297,WIFI_ALIVE,IP=10.198.115.147,RSSI=-33"
2026-04-23 16:22:33.868,STATUS,11298,,,,,,"WIFI_ALIVE,IP=10.198.115.147,RSSI=-35","STATUS,11298,WIFI_ALIVE,IP=10.198.115.147,RSSI=-35"
2026-04-23 16:22:38.870,STATUS,16299,,,,,,"WIFI_ALIVE,IP=10.198.115.147,RSSI=-42","STATUS,16299,WIFI_ALIVE,IP=10.198.115.147,RSSI=-42"
2026-04-23 16:22:43.872,STATUS,21300,,,,,,"WIFI_ALIVE,IP=10.198.115.147,RSSI=-44","STATUS,21300,WIFI_ALIVE,IP=10.198.115.147,RSSI=-44"
2026-04-23 16:22:48.875,STATUS,26301,,,,,,"WIFI_ALIVE,IP=10.198.115.147,RSSI=-42","STATUS,26301,WIFI_ALIVE,IP=10.198.115.147,RSSI=-42"
2026-04-23 16:22:53.898,STATUS,31302,,,,,,"WIFI_ALIVE,IP=10.198.115.147,RSSI=-41","STATUS,31302,WIFI_ALIVE,IP=10.198.115.147,RSSI=-41"
2026-04-23 16:22:58.873,STATUS,36303,,,,,,"WIFI_ALIVE,IP=10.198.115.147,RSSI=-46","STATUS,36303,WIFI_ALIVE,IP=10.198.115.147,RSSI=-46"
2026-04-23 16:23:03.875,STATUS,41304,,,,,,"WIFI_ALIVE,IP=10.198.115.147,RSSI=-39","STATUS,41304,WIFI_ALIVE,IP=10.198.115.147,RSSI=-39"
2026-04-23 16:23:08.877,STATUS,46305,,,,,,"WIFI_ALIVE,IP=10.198.115.147,RSSI=-56","STATUS,46305,WIFI_ALIVE,IP=10.198.115.147,RSSI=-56"
2026-04-23 16:23:13.877,STATUS,51306,,,,,,"WIFI_ALIVE,IP=10.198.115.147,RSSI=-54","STATUS,51306,WIFI_ALIVE,IP=10.198.115.147,RSSI=-54"
2026-04-23 16:23:18.883,STATUS,56307,,,,,,"WIFI_ALIVE,IP=10.198.115.147,RSSI=-60","STATUS,56307,WIFI_ALIVE,IP=10.198.115.147,RSSI=-60"
2026-04-23 16:23:23.879,STATUS,61308,,,,,,"WIFI_ALIVE,IP=10.198.115.147,RSSI=-60","STATUS,61308,WIFI_ALIVE,IP=10.198.115.147,RSSI=-60"
2026-04-23 16:23:28.885,STATUS,66309,,,,,,"WIFI_ALIVE,IP=10.198.115.147,RSSI=-58","STATUS,66309,WIFI_ALIVE,IP=10.198.115.147,RSSI=-58"
2026-04-23 16:23:33.884,STATUS,71310,,,,,,"WIFI_ALIVE,IP=10.198.115.147,RSSI=-59","STATUS,71310,WIFI_ALIVE,IP=10.198.115.147,RSSI=-59"
2026-04-23 16:23:38.882,STATUS,76311,,,,,,"WIFI_ALIVE,IP=10.198.115.147,RSSI=-58","STATUS,76311,WIFI_ALIVE,IP=10.198.115.147,RSSI=-58"
