pc_time,packet_type,esp_millis,steer,throttle,brake,mode_id,fault_flag,status_text,raw_line
2026-04-23 16:23:43.884,STATUS,81312,,,,,,"WIFI_ALIVE,IP=10.198.115.147,RSSI=-54","STATUS,81312,WIFI_ALIVE,IP=10.198.115.147,RSSI=-54"
2026-04-23 16:23:48.885,STATUS,86313,,,,,,"WIFI_ALIVE,IP=10.198.115.147,RSSI=-50","STATUS,86313,WIFI_ALIVE,IP=10.198.115.147,RSSI=-50"
2026-04-23 16:23:59.105,STATUS,5996,,,,,,"WIFI_OK,IP=10.198.115.147","STATUS,5996,WIFI_OK,IP=10.198.115.147"
2026-04-23 16:23:59.403,STATUS,6297,,,,,,"WIFI_ALIVE,IP=10.198.115.147,RSSI=-57","STATUS,6297,WIFI_ALIVE,IP=10.198.115.147,RSSI=-57"
2026-04-23 16:24:04.401,STATUS,11298,,,,,,"WIFI_ALIVE,IP=10.198.115.147,RSSI=-57","STATUS,11298,WIFI_ALIVE,IP=10.198.115.147,RSSI=-57"
2026-04-23 16:24:09.431,STATUS,16299,,,,,,"WIFI_ALIVE,IP=10.198.115.147,RSSI=-58","STATUS,16299,WIFI_ALIVE,IP=10.198.115.147,RSSI=-58"
2026-04-23 16:24:14.404,STATUS,21300,,,,,,"WIFI_ALIVE,IP=10.198.115.147,RSSI=-54","STATUS,21300,WIFI_ALIVE,IP=10.198.115.147,RSSI=-54"
2026-04-23 16:24:19.405,STATUS,26301,,,,,,"WIFI_ALIVE,IP=10.198.115.147,RSSI=-54","STATUS,26301,WIFI_ALIVE,IP=10.198.115.147,RSSI=-54"
2026-04-23 16:24:24.406,STATUS,31302,,,,,,"WIFI_ALIVE,IP=10.198.115.147,RSSI=-53","STATUS,31302,WIFI_ALIVE,IP=10.198.115.147,RSSI=-53"
2026-04-23 16:24:29.408,STATUS,36303,,,,,,"WIFI_ALIVE,IP=10.198.115.147,RSSI=-58","STATUS,36303,WIFI_ALIVE,IP=10.198.115.147,RSSI=-58"
2026-04-23 16:24:34.408,STATUS,41304,,,,,,"WIFI_ALIVE,IP=10.198.115.147,RSSI=-47","STATUS,41304,WIFI_ALIVE,IP=10.198.115.147,RSSI=-47"
