pc_time,packet_type,esp_millis,steer,throttle,brake,mode_id,fault_flag,status_text,raw_line
2026-04-23 16:29:40.584,STATUS,50385,,,,,,"WIFI_ALIVE,IP=10.198.115.147,RSSI=-33","STATUS,50385,WIFI_ALIVE,IP=10.198.115.147,RSSI=-33"
2026-04-23 16:29:45.585,STATUS,55386,,,,,,"WIFI_ALIVE,IP=10.198.115.147,RSSI=-31","STATUS,55386,WIFI_ALIVE,IP=10.198.115.147,RSSI=-31"
2026-04-23 16:29:50.588,STATUS,60387,,,,,,"WIFI_ALIVE,IP=10.198.115.147,RSSI=-37","STATUS,60387,WIFI_ALIVE,IP=10.198.115.147,RSSI=-37"
2026-04-23 16:29:55.627,STATUS,65388,,,,,,"WIFI_ALIVE,IP=10.198.115.147,RSSI=-36","STATUS,65388,WIFI_ALIVE,IP=10.198.115.147,RSSI=-36"
2026-04-23 16:30:03.826,STATUS,7624,,,,,,"WIFI_OK,IP=10.198.115.147","STATUS,7624,WIFI_OK,IP=10.198.115.147"
2026-04-23 16:30:04.226,STATUS,8025,,,,,,"WIFI_ALIVE,IP=10.198.115.147,RSSI=-37","STATUS,8025,WIFI_ALIVE,IP=10.198.115.147,RSSI=-37"
2026-04-23 16:30:04.226,UNKNOWN,,,,,,,,"RAWBYTE,8026,0a,10"
2026-04-23 16:30:04.241,UNKNOWN,,,,,,,,"RAWBYTE,8046,02,2"
2026-04-23 16:30:04.262,UNKNOWN,,,,,,,,"RAWBYTE,8067,01,1"
2026-04-23 16:30:04.282,UNKNOWN,,,,,,,,"RAWBYTE,8087,0b,11"
2026-04-23 16:30:04.303,UNKNOWN,,,,,,,,"RAWBYTE,8108,16,22"
2026-04-23 16:30:04.323,UNKNOWN,,,,,,,,"RAWBYTE,8128,21,33"
2026-04-23 16:30:04.343,UNKNOWN,,,,,,,,"RAWBYTE,8149,2c,44"
2026-04-23 16:30:04.364,UNKNOWN,,,,,,,,"RAWBYTE,8169,0a,10"
2026-04-23 16:30:04.384,UNKNOWN,,,,,,,,"RAWBYTE,8190,02,2"
2026-04-23 16:30:04.405,UNKNOWN,,,,,,,,"RAWBYTE,8210,01,1"
2026-04-23 16:30:04.425,UNKNOWN,,,,,,,,"RAWBYTE,8230,0b,11"
2026-04-23 16:30:04.446,UNKNOWN,,,,,,,,"RAWBYTE,8251,16,22"
2026-04-23 16:30:04.466,UNKNOWN,,,,,,,,"RAWBYTE,8272,21,33"
2026-04-23 16:30:04.486,UNKNOWN,,,,,,,,"RAWBYTE,8292,2c,44"
2026-04-23 16:30:04.506,UNKNOWN,,,,,,,,"RAWBYTE,8312,0a,10"
2026-04-23 16:30:04.527,UNKNOWN,,,,,,,,"RAWBYTE,8333,02,2"
2026-04-23 16:30:04.547,UNKNOWN,,,,,,,,"RAWBYTE,8353,01,1"
