row_id,wall_time_utc,session_id,scenario_id,execution_mode,scenario_time_s,program_time_s,sample_dt_s,phase,scenario_started,steer_cmd_deg,throttle_cmd,brake_cmd,speed_mps,yaw_rad,yaw_rate_rps,mode_id,fault_flag,rtt_ms,jitter_ms,steer_ref_deg,throttle_ref,brake_ref,speed_ref_mps,tol_steer_deg,tol_throttle,tol_brake,tol_speed_mps,e_speed_actual,e_steer_actual,speed_in_tol
24,2026-04-21T10:03:51.682Z,S20260421_110349,SC01,AUTO,,2.5228,0.0639,start,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.05,0.8,0.0,0.0,1
25,2026-04-21T10:03:51.747Z,S20260421_110349,SC01,AUTO,,2.5886,0.0657,start,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.05,0.8,0.0,0.0,1
26,2026-04-21T10:03:51.807Z,S20260421_110349,SC01,AUTO,,2.6478,0.0593,start,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.05,0.8,0.0,0.0,1
27,2026-04-21T10:03:51.867Z,S20260421_110349,SC01,AUTO,,2.7083,0.0605,start,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.05,0.8,0.0,0.0,1
28,2026-04-21T10:03:52.047Z,S20260421_110349,SC01,AUTO,,2.8883,0.18,start,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.05,0.8,0.0,0.0,1
29,2026-04-21T10:03:52.053Z,S20260421_110349,SC01,AUTO,,2.8945,0.0061,start,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.05,0.8,0.0,0.0,1
30,2026-04-21T10:03:52.127Z,S20260421_110349,SC01,AUTO,,2.9678,0.0733,start,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.05,0.8,0.0,0.0,1
31,2026-04-21T10:03:52.188Z,S20260421_110349,SC01,AUTO,,3.029,0.0612,start,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.05,0.8,0.0,0.0,1
32,2026-04-21T10:03:52.248Z,S20260421_110349,SC01,AUTO,,3.0888,0.0598,start,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.05,0.8,0.0,0.0,1
33,2026-04-21T10:03:52.307Z,S20260421_110349,SC01,AUTO,,3.148,0.0593,start,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.05,0.8,0.0,0.0,1
34,2026-04-21T10:03:52.367Z,S20260421_110349,SC01,AUTO,,3.2084,0.0604,start,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.05,0.8,0.0,0.0,1
35,2026-04-21T10:03:52.427Z,S20260421_110349,SC01,AUTO,,3.2678,0.0592,start,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.05,0.8,0.0,0.0,1
36,2026-04-21T10:03:52.498Z,S20260421_110349,SC01,AUTO,,3.3393,0.0716,start,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.05,0.8,0.0,0.0,1
37,2026-04-21T10:03:52.559Z,S20260421_110349,SC01,AUTO,,3.4005,0.0612,start,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.05,0.8,0.0,0.0,1
38,2026-04-21T10:03:52.621Z,S20260421_110349,SC01,AUTO,,3.4626,0.0621,start,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.05,0.8,0.0,0.0,1
39,2026-04-21T10:03:52.682Z,S20260421_110349,SC01,AUTO,,3.5227,0.0602,start,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.05,0.8,0.0,0.0,1
40,2026-04-21T10:03:52.746Z,S20260421_110349,SC01,AUTO,,3.5871,0.0644,start,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.05,0.8,0.0,0.0,1
41,2026-04-21T10:03:52.802Z,S20260421_110349,SC01,AUTO,,3.6429,0.0558,start,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.05,0.8,0.0,0.0,1
42,2026-04-21T10:03:52.865Z,S20260421_110349,SC01,AUTO,,3.7066,0.0637,start,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.05,0.8,0.0,0.0,1
43,2026-04-21T10:03:52.926Z,S20260421_110349,SC01,AUTO,,3.7676,0.061,start,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.05,0.8,0.0,0.0,1
44,2026-04-21T10:03:52.994Z,S20260421_110349,SC01,AUTO,,3.8356,0.068,start,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.05,0.8,0.0,0.0,1
45,2026-04-21T10:03:53.056Z,S20260421_110349,SC01,AUTO,,3.8977,0.0621,start,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.05,0.8,0.0,0.0,1
46,2026-04-21T10:03:53.118Z,S20260421_110349,SC01,AUTO,,3.9597,0.062,start,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.05,0.8,0.0,0.0,1
47,2026-04-21T10:03:53.181Z,S20260421_110349,SC01,AUTO,,4.0224,0.0627,start,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.05,0.8,0.0,0.0,1
48,2026-04-21T10:03:53.245Z,S20260421_110349,SC01,AUTO,,4.0858,0.0633,start,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.05,0.8,0.0,0.0,1
49,2026-04-21T10:03:53.306Z,S20260421_110349,SC01,AUTO,,4.1468,0.061,start,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.05,0.8,0.0,0.0,1
50,2026-04-21T10:03:53.367Z,S20260421_110349,SC01,AUTO,,4.2078,0.061,start,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.05,0.8,0.0,0.0,1
51,2026-04-21T10:03:53.427Z,S20260421_110349,SC01,AUTO,,4.268,0.0602,start,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.05,0.8,0.0,0.0,1
52,2026-04-21T10:03:53.491Z,S20260421_110349,SC01,AUTO,,4.3325,0.0645,start,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.05,0.8,0.0,0.0,1
53,2026-04-21T10:03:53.620Z,S20260421_110349,SC01,AUTO,,4.4609,0.1284,start,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.05,0.8,0.0,0.0,1
54,2026-04-21T10:03:53.682Z,S20260421_110349,SC01,AUTO,,4.523,0.0622,start,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.05,0.8,0.0,0.0,1
55,2026-04-21T10:03:53.744Z,S20260421_110349,SC01,AUTO,,4.5856,0.0625,start,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.05,0.8,0.0,0.0,1
56,2026-04-21T10:03:53.806Z,S20260421_110349,SC01,AUTO,,4.6473,0.0617,start,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.05,0.8,0.0,0.0,1
57,2026-04-21T10:03:53.866Z,S20260421_110349,SC01,AUTO,,4.7077,0.0604,start,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.05,0.8,0.0,0.0,1
58,2026-04-21T10:03:53.927Z,S20260421_110349,SC01,AUTO,,4.7681,0.0605,start,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.05,0.8,0.0,0.0,1
59,2026-04-21T10:03:53.991Z,S20260421_110349,SC01,AUTO,,4.8326,0.0645,start,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.05,0.8,0.0,0.0,1
60,2026-04-21T10:03:54.053Z,S20260421_110349,SC01,AUTO,,4.8945,0.0619,start,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.05,0.8,0.0,0.0,1
61,2026-04-21T10:03:54.115Z,S20260421_110349,SC01,AUTO,,4.9565,0.062,start,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.05,0.8,0.0,0.0,1
62,2026-04-21T10:03:54.180Z,S20260421_110349,SC01,AUTO,,5.0216,0.0651,start,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.05,0.8,0.0,0.0,1
63,2026-04-21T10:03:54.242Z,S20260421_110349,SC01,AUTO,,5.0827,0.0612,start,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.05,0.8,0.0,0.0,1
64,2026-04-21T10:03:54.303Z,S20260421_110349,SC01,AUTO,,5.1445,0.0618,start,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.05,0.8,0.0,0.0,1
65,2026-04-21T10:03:54.366Z,S20260421_110349,SC01,AUTO,,5.2074,0.0629,start,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.05,0.8,0.0,0.0,1
66,2026-04-21T10:03:54.427Z,S20260421_110349,SC01,AUTO,,5.2681,0.0607,start,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.05,0.8,0.0,0.0,1
67,2026-04-21T10:03:54.488Z,S20260421_110349,SC01,AUTO,,5.3297,0.0615,start,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.05,0.8,0.0,0.0,1
68,2026-04-21T10:03:54.554Z,S20260421_110349,SC01,AUTO,,5.3949,0.0652,start,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.05,0.8,0.0,0.0,1
69,2026-04-21T10:03:54.627Z,S20260421_110349,SC01,AUTO,,5.4682,0.0733,start,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.05,0.8,0.0,0.0,1
70,2026-04-21T10:03:54.681Z,S20260421_110349,SC01,AUTO,,5.5223,0.0542,start,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.05,0.8,0.0,0.0,1
71,2026-04-21T10:03:54.747Z,S20260421_110349,SC01,AUTO,,5.588,0.0656,start,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.05,0.8,0.0,0.0,1
72,2026-04-21T10:03:54.804Z,S20260421_110349,SC01,AUTO,,5.645,0.0571,start,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.05,0.8,0.0,0.0,1
73,2026-04-21T10:03:54.878Z,S20260421_110349,SC01,AUTO,,5.7191,0.074,start,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.05,0.8,0.0,0.0,1
74,2026-04-21T10:03:54.930Z,S20260421_110349,SC01,AUTO,,5.7712,0.0521,start,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.05,0.8,0.0,0.0,1
75,2026-04-21T10:03:54.994Z,S20260421_110349,SC01,AUTO,,5.8352,0.064,start,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.05,0.8,0.0,0.0,1
76,2026-04-21T10:03:55.050Z,S20260421_110349,SC01,AUTO,,5.8916,0.0564,start,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.05,0.8,0.0,0.0,1
77,2026-04-21T10:03:55.129Z,S20260421_110349,SC01,AUTO,,5.97,0.0784,start,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.05,0.8,0.0,0.0,1
78,2026-04-21T10:03:55.190Z,S20260421_110349,SC01,AUTO,,6.0313,0.0613,start,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.05,0.8,0.0,0.0,1
79,2026-04-21T10:03:55.252Z,S20260421_110349,SC01,AUTO,,6.093,0.0618,start,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.05,0.8,0.0,0.0,1
80,2026-04-21T10:03:55.315Z,S20260421_110349,SC01,AUTO,,6.1567,0.0636,start,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.05,0.8,0.0,0.0,1
81,2026-04-21T10:03:55.370Z,S20260421_110349,SC01,AUTO,,6.211,0.0544,start,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.05,0.8,0.0,0.0,1
82,2026-04-21T10:03:55.426Z,S20260421_110349,SC01,AUTO,,6.267,0.056,start,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.05,0.8,0.0,0.0,1
83,2026-04-21T10:03:55.489Z,S20260421_110349,SC01,AUTO,,6.3298,0.0627,start,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.05,0.8,0.0,0.0,1
84,2026-04-21T10:03:55.551Z,S20260421_110349,SC01,AUTO,,6.3925,0.0627,start,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.05,0.8,0.0,0.0,1
85,2026-04-21T10:03:55.618Z,S20260421_110349,SC01,AUTO,,6.4588,0.0663,start,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.05,0.8,0.0,0.0,1
86,2026-04-21T10:03:55.675Z,S20260421_110349,SC01,AUTO,,6.5167,0.0579,start,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.05,0.8,0.0,0.0,1
87,2026-04-21T10:03:55.746Z,S20260421_110349,SC01,AUTO,,6.5869,0.0702,start,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.05,0.8,0.0,0.0,1
88,2026-04-21T10:03:55.815Z,S20260421_110349,SC01,AUTO,,6.6558,0.0689,start,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.05,0.8,0.0,0.0,1
89,2026-04-21T10:03:55.866Z,S20260421_110349,SC01,AUTO,,6.7069,0.0511,start,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.05,0.8,0.0,0.0,1
90,2026-04-21T10:03:55.930Z,S20260421_110349,SC01,AUTO,,6.7713,0.0644,start,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.05,0.8,0.0,0.0,1
91,2026-04-21T10:03:56.001Z,S20260421_110349,SC01,AUTO,,6.8423,0.071,start,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.05,0.8,0.0,0.0,1
92,2026-04-21T10:03:56.065Z,S20260421_110349,SC01,AUTO,,6.9058,0.0635,start,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.05,0.8,0.0,0.0,1
93,2026-04-21T10:03:56.127Z,S20260421_110349,SC01,AUTO,,6.9685,0.0626,start,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.05,0.8,0.0,0.0,1
94,2026-04-21T10:03:56.190Z,S20260421_110349,SC01,AUTO,,7.0317,0.0633,start,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.05,0.8,0.0,0.0,1
95,2026-04-21T10:03:56.253Z,S20260421_110349,SC01,AUTO,,7.0941,0.0623,start,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.05,0.8,0.0,0.0,1
96,2026-04-21T10:03:56.316Z,S20260421_110349,SC01,AUTO,,7.1572,0.0631,start,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.05,0.8,0.0,0.0,1
97,2026-04-21T10:03:56.379Z,S20260421_110349,SC01,AUTO,,7.2198,0.0626,start,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.05,0.8,0.0,0.0,1
98,2026-04-21T10:03:56.426Z,S20260421_110349,SC01,AUTO,,7.2671,0.0473,start,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.05,0.8,0.0,0.0,1
99,2026-04-21T10:03:56.489Z,S20260421_110349,SC01,AUTO,,7.3301,0.063,start,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.05,0.8,0.0,0.0,1
