timestamp_s,session_id,scenario_id,phase,steer_in_deg,throttle_in,brake_in,speed_mps,yaw_rad,yaw_rate_rps,mode_id,fault_flag,rtt_s,jitter_s,steer_ref_deg,throttle_ref,brake_ref,speed_ref_mps,tol_steer_deg,tol_throttle,tol_brake,tol_speed_mps,e_steer_deg,e_throttle,e_brake,e_speed_mps
0.487,S20260416_141214,SC01,start,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.05,0.05,0.5,0.0,0.0,0.0,0.0
0.509,S20260416_141214,SC01,start,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.05,0.05,0.5,0.0,0.0,0.0,0.0
0.567,S20260416_141214,SC01,start,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.05,0.05,0.5,0.0,0.0,0.0,0.0
0.629,S20260416_141214,SC01,start,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.05,0.05,0.5,0.0,0.0,0.0,0.0
0.701,S20260416_141214,SC01,start,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.05,0.05,0.5,0.0,0.0,0.0,0.0
0.764,S20260416_141214,SC01,start,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.05,0.05,0.5,0.0,0.0,0.0,0.0
0.818,S20260416_141214,SC01,start,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.05,0.05,0.5,0.0,0.0,0.0,0.0
0.88,S20260416_141214,SC01,start,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.05,0.05,0.5,0.0,0.0,0.0,0.0
0.949,S20260416_141214,SC01,start,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.05,0.05,0.5,0.0,0.0,0.0,0.0
4.706,S20260416_141214,SC01,start,0.0,0.0,0.0,1.7771802163224493e-07,-0.6981316804885864,8.453062904436571e-18,1,0,4.119752028112998,0.018371856451267377,0.0,0.0,0.0,0.0,2.0,0.05,0.05,0.5,0.0,0.0,0.0,1.7771802163224493e-07
4.754,S20260416_141214,SC01,start,0.0,0.0,0.0,1.7771802163224493e-07,-0.6981316804885864,8.453062904436571e-18,1,0,4.119752028112998,0.018371856451267377,0.0,0.0,0.0,0.0,2.0,0.05,0.05,0.5,0.0,0.0,0.0,1.7771802163224493e-07
4.818,S20260416_141214,SC01,start,0.0,0.0,0.0,2.8498820370259637e-07,-0.6981316804885864,3.648219293890106e-18,1,0,4.2017602816049475,0.01946232159389183,0.0,0.0,0.0,0.0,2.0,0.05,0.05,0.5,0.0,0.0,0.0,2.8498820370259637e-07
4.881,S20260416_141214,SC01,start,0.0,0.0,0.0,2.8498820370259637e-07,-0.6981316804885864,3.648219293890106e-18,1,0,4.2017602816049475,0.01946232159389183,0.0,0.0,0.0,0.0,2.0,0.05,0.05,0.5,0.0,0.0,0.0,2.8498820370259637e-07
4.944,S20260416_141214,SC01,start,0.0,0.0,0.0,3.757263016268553e-07,-0.6981316804885864,6.147748587559461e-18,1,0,4.240115601627622,0.020072722516488284,0.0,0.0,0.0,0.0,2.0,0.05,0.05,0.5,0.0,0.0,0.0,3.757263016268553e-07
5.006,S20260416_141214,SC01,accel_1,0.0,0.3,0.0,5.031114937992243e-07,-0.6981316804885864,5.0993455512143326e-18,1,0,4.205543682066491,0.019104347680695355,0.0,0.3,0.0,3.0,2.0,0.05,0.05,0.5,0.0,0.0,0.0,-2.999999496888506
