timestamp_s,session_id,scenario_id,phase,steer_in_deg,throttle_in,brake_in,speed_mps,yaw_rad,yaw_rate_rps,mode_id,fault_flag,rtt_s,jitter_s,steer_ref_deg,throttle_ref,brake_ref,speed_ref_mps,tol_steer_deg,tol_throttle,tol_brake,tol_speed_mps,e_steer_deg,e_throttle,e_brake,e_speed_mps,speed_min_mps,speed_max_mps,speed_in_corridor,e_speed_low,e_speed_high
0.573,S20260416_140817,SC01,start,0.0,0.0,0.0,1.0398968015579158e-06,-0.6981316804885864,1.659798386669943e-19,3,0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.05,0.05,0.5,0.0,0.0,0.0,1.0398968015579158e-06,0.0,0.2,1,0.0,0.2
0.63,S20260416_140817,SC01,start,0.0,0.0,0.0,1.0005780950450571e-06,-0.6981316804885864,6.887014396272928e-12,1,0,0.05313778173876926,0.00012470001820474863,0.0,0.0,0.0,0.0,2.0,0.05,0.05,0.5,0.0,0.0,0.0,1.0005780950450571e-06,0.0,0.2,1,0.0,0.2
0.691,S20260416_140817,SC01,start,0.0,0.0,0.0,1.067897756001912e-06,-0.6981316804885864,-1.5242984652275027e-10,1,0,0.11550608172547072,0.0022708000033162534,0.0,0.0,0.0,0.0,2.0,0.05,0.05,0.5,0.0,0.0,0.0,1.067897756001912e-06,0.0,0.2,1,0.0,0.2
0.754,S20260416_140817,SC01,start,0.0,0.0,0.0,1.047675937115855e-06,-0.6981316804885864,3.060595830592372e-12,1,0,0.17749378172447905,0.0003850999928545207,0.0,0.0,0.0,0.0,2.0,0.05,0.05,0.5,0.0,0.0,0.0,1.047675937115855e-06,0.0,0.2,1,0.0,0.2
0.816,S20260416_140817,SC01,start,0.0,0.0,0.0,1.0416920304123778e-06,-0.6981316804885864,-1.738354425684374e-11,1,0,0.2407758817425929,9.430001955479383e-05,0.0,0.0,0.0,0.0,2.0,0.05,0.05,0.5,0.0,0.0,0.0,1.0416920304123778e-06,0.0,0.2,1,0.0,0.2
0.879,S20260416_140817,SC01,start,0.0,0.0,0.0,1.0371725238655927e-06,-0.6981316804885864,5.302347970415067e-12,1,0,0.3028858817415312,9.620000491850078e-05,0.0,0.0,0.0,0.0,2.0,0.05,0.05,0.5,0.0,0.0,0.0,1.0371725238655927e-06,0.0,0.2,1,0.0,0.2
0.943,S20260416_140817,SC01,start,0.0,0.0,0.0,1.0367770073571592e-06,-0.6981316804885864,-1.0917229793794281e-11,1,0,0.36474658173392527,0.00028119998751208186,0.0,0.0,0.0,0.0,2.0,0.05,0.05,0.5,0.0,0.0,0.0,1.0367770073571592e-06,0.0,0.2,1,0.0,0.2
1.007,S20260416_140817,SC01,start,0.0,0.0,0.0,1.0369111578256707e-06,-0.6981316804885864,1.5257406273182055e-14,1,0,0.37488497752929106,0.018224425381049514,0.0,0.0,0.0,0.0,2.0,0.05,0.05,0.5,0.0,0.0,0.0,1.0369111578256707e-06,0.0,0.2,1,0.0,0.2
1.068,S20260416_140817,SC01,start,0.0,0.0,0.0,1.0371087455496308e-06,-0.6981316804885864,-1.2979928954616989e-18,1,0,0.36890531043172814,0.017515966144856066,0.0,0.0,0.0,0.0,2.0,0.05,0.05,0.5,0.0,0.0,0.0,1.0371087455496308e-06,0.0,0.2,1,0.0,0.2
1.131,S20260416_140817,SC01,start,0.0,0.0,0.0,1.037517904478591e-06,-0.6981316804885864,1.1351849325523274e-19,1,0,0.34946130533353426,0.020656418229918927,0.0,0.0,0.0,0.0,2.0,0.05,0.05,0.5,0.0,0.0,0.0,1.037517904478591e-06,0.0,0.2,1,0.0,0.2
