timestamp_s,session_id,scenario_id,phase,steer_in_deg,throttle_in,brake_in,speed_mps,yaw_rad,yaw_rate_rps,mode_id,fault_flag,rtt_s,jitter_s,steer_ref_deg,throttle_ref,brake_ref,speed_ref_mps,tol_steer_deg,tol_throttle,tol_brake,tol_speed_mps,e_steer_deg,e_throttle,e_brake,e_speed_mps,speed_min_mps,speed_max_mps,speed_in_corridor,e_speed_low,e_speed_high
0.966,S20260416_140041,SC01,start,0.0,0.0,0.0,3.9377823668473866e-07,-0.6981316804885864,-3.1614925729837973e-18,1,0,0.9573144000023603,0.04900110000744462,0.0,0.0,0.0,0.0,2.0,0.05,0.05,0.5,0.0,0.0,0.0,3.9377823668473866e-07,0.0,0.2,1,0.0,0.2
1.193,S20260416_140041,SC01,start,0.0,0.0,0.0,0.0025218685623258352,-0.6981316804885864,-2.804595985120749e-18,1,0,0.16081651765853167,0.00040439999429509044,0.0,0.0,0.0,0.0,2.0,0.05,0.05,0.5,0.0,0.0,0.0,0.0025218685623258352,0.0,0.2,1,0.00252,0.19748
1.251,S20260416_140041,SC01,start,0.0,0.0,0.0,0.0030867208261042833,-0.6981316804885864,5.3247340701615564e-18,1,0,0.0019591952150221914,0.20408532244618982,0.0,0.0,0.0,0.0,2.0,0.05,0.05,0.5,0.0,0.0,0.0,0.0030867208261042833,0.0,0.2,1,0.00309,0.19691
1.318,S20260416_140041,SC01,start,0.0,0.0,0.0,0.003495476907119155,-0.6981316804885864,-4.528212907012807e-18,1,0,0.09963290917221457,0.014757786062546074,0.0,0.0,0.0,0.0,2.0,0.05,0.05,0.5,0.0,0.0,0.0,0.003495476907119155,0.0,0.2,1,0.0035,0.1965
1.375,S20260416_140041,SC01,start,0.0,0.0,0.0,0.0037767505273222923,-0.6981316804885864,-5.113740975414593e-18,1,0,0.08050731869298033,0.016952503647189587,0.0,0.0,0.0,0.0,2.0,0.05,0.05,0.5,0.0,0.0,0.0,0.0037767505273222923,0.0,0.2,1,0.00378,0.19622
1.44,S20260416_140041,SC01,start,0.0,0.0,0.0,0.004045475739985704,-0.6981316804885864,2.6921831738505584e-18,1,0,0.03730890896986239,0.019224632065743208,0.0,0.0,0.0,0.0,2.0,0.05,0.05,0.5,0.0,0.0,0.0,0.004045475739985704,0.0,0.2,1,0.00405,0.19595
1.501,S20260416_140041,SC01,start,0.0,0.0,0.0,0.004063928034156561,-0.6981316804885864,-1.5783079131424572e-19,1,0,0.051108469895552844,0.017895229655550793,0.0,0.0,0.0,0.0,2.0,0.05,0.05,0.5,0.0,0.0,0.0,0.004063928034156561,0.0,0.2,1,0.00406,0.19594
1.57,S20260416_140041,SC01,start,0.0,0.0,0.0,0.003963933791965246,-0.6981316804885864,3.586466952440572e-19,1,0,0.030934184382203966,0.019277745013823733,0.0,0.0,0.0,0.0,2.0,0.05,0.05,0.5,0.0,0.0,0.0,0.003963933791965246,0.0,0.2,1,0.00396,0.19604
1.629,S20260416_140041,SC01,start,0.0,0.0,0.0,0.003725414164364338,-0.6981316804885864,-4.0139934425810146e-20,1,0,0.026112749910680577,0.019394671806367114,0.0,0.0,0.0,0.0,2.0,0.05,0.05,0.5,0.0,0.0,0.0,0.003725414164364338,0.0,0.2,1,0.00373,0.19627
1.69,S20260416_140041,SC01,start,0.0,0.0,0.0,0.003413446480408311,-0.6981316804885864,6.095592161601002e-20,1,0,0.020132573728915304,0.01840213092509657,0.0,0.0,0.0,0.0,2.0,0.05,0.05,0.5,0.0,0.0,0.0,0.003413446480408311,0.0,0.2,1,0.00341,0.19659
